Project: FIRBU_AM
Revision: FIRBU_AM
Flow Start Date: Thu Oct 11 10:04:31 EEST 2012
Flow End Date: Thu Oct 11 10:19:38 EEST 2012

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[2]': Fmax,76.65 MHz,81.97 MHz,180.96 MHz,80.0 MHz,85.44 MHz,193.95 MHz,71.28 MHz,76.18 MHz,167.39 MHz,94.32 MHz,102.33 MHz,223.11 MHz,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[2]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[2]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[2]': Restricted Fmax,76.65 MHz,81.97 MHz,180.96 MHz,80.0 MHz,85.44 MHz,193.95 MHz,71.28 MHz,76.18 MHz,167.39 MHz,94.32 MHz,102.33 MHz,223.11 MHz,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[2]': Worst-case Slack,618.477 ns,618.900 ns,622.237 ns,618.750 ns,619.148 ns,622.422 ns,617.985 ns,618.437 ns,622.013 ns,619.699 ns,620.114 ns,622.759 ns,unknown,unknown,unknown
Clock Setup: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,unknown
Elapsed Time: Analysis & Synthesis,00:00:56,00:00:56,00:00:56,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:40,00:00:40,00:00:40,unknown,unknown,unknown
Elapsed Time: Assembler,00:00:03,00:00:03,00:00:03,00:00:05,00:00:05,00:00:05,00:00:05,00:00:05,00:00:05,00:00:03,00:00:03,00:00:03,unknown,unknown,unknown
Elapsed Time: EDA Netlist Writer,00:00:11,00:00:11,00:00:11,00:00:11,00:00:11,00:00:11,00:00:10,00:00:10,00:00:10,00:00:11,00:00:11,00:00:11,unknown,unknown,unknown
Elapsed Time: Fitter,00:01:01,00:01:01,00:01:01,00:01:04,00:01:04,00:01:04,00:01:34,00:01:34,00:01:34,00:01:31,00:01:31,00:01:31,unknown,unknown,unknown
Elapsed Time: TimeQuest Timing Analyzer,00:00:16,00:00:16,00:00:16,00:00:17,00:00:17,00:00:17,00:00:16,00:00:16,00:00:16,00:00:17,00:00:17,00:00:17,unknown,unknown,unknown
Elapsed Time: Total,00:02:24,00:02:24,00:02:24,00:02:16,00:02:16,00:02:16,00:02:44,00:02:44,00:02:44,00:02:39,00:02:39,00:02:39,unknown,unknown,unknown
Timing Model,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,unknown,unknown,unknown
Total block memory bits,164032,164032,164032,164032,164032,164032,164032,164032,164032,164032,164032,164032,unknown,unknown,unknown
Total Keeper TNS,-8.152 ns,-11.147 ns,-5.737 ns,-8.329 ns,-10.043 ns,-5.58 ns,-0.307 ns,-0.38 ns,-1.258 ns,-10.301 ns,-11.265 ns,-6.247 ns,unknown,unknown,unknown
Total logic elements,3964,3964,3964,3954,3954,3954,3990,3990,3990,4011,4011,4011,unknown,unknown,unknown
Total Thermal Power Dissipation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
